name,description,origin_price,publishing_company,writer,tags
狼图腾,"本书由几十个有机连贯的“狼故事”一气呵成，情节紧张激烈而又新奇神秘。读者可从书中每一篇章、每个细节中攫取强烈的阅读快感，令人欲罢不能。那些精灵一般的蒙古草原狼随时从书中呼啸而出：狼的每一次侦察、布阵、伏击、奇袭的高超战术;狼对气象、地形的巧妙利用；狼的视死如归和不屈不挠；狼族中的友爱亲情；狼与草原万物的关系；倔强可爱的小狼在失去自由后艰难的成长过程——无不使我们联想到人类，进而思考人类历史中那些迄",32.00,长江文艺出版社,姜戎,小说
"那些年 我们一起追的女孩","柯景腾读国中时是一个成绩暴烂而且又调皮捣蛋的男生，老师将他“托付”给班里最优秀的女生沈佳仪。只要他不认真学习，沈佳仪就会用钢笔戳他的衣服。 在沈佳仪的监督和鼓励下，柯景腾的成绩就像芝麻开花节节高，渐渐地，他也喜欢上了气质优雅的沈佳仪。但是柯景腾却不敢向心爱的女生表白，因为几乎被所有男生喜欢的沈佳仪对追求她的男生一律有一种反感，她只想好好学习，不希望别人介入自己的生活。 但是，为何沈佳仪唯独愿意",20.00,花山文艺出版社,九把刀,现代
货币战争,"为什么你不知道美联储是私有的中央银行？ 为什么华尔街风险资本会选中希特勒作为“投资”对象？ 为什么美国总统遇刺的比例高于美军诺曼底登陆一线部队的伤亡率？ 自1694年英格兰银行成立以来的３００年间，几乎每一场世界重大变故背后，都能看到国际金融资本势力的身影。他们通过左右一国的经济命脉掌握国家的政治命运，通过煽动政治事件、诱发经济危机，控制着世界财富的流向与分配。可以说，一部世界金融史，就是一",38,中信出版社,宋鸿兵,经济
挪威的森林,"这是一部动人心弦的、平缓舒雅的、略带感伤的、百分之百的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，后来木月自杀了。一年后渡边同直子不期而遇并开始交往。此时的直子已变得娴静腼腆，美丽晶莹的眸子里不时掠过一丝难以捕捉的阴翳。两人只是日复一日地在落叶飘零的东京街头漫无目标地或前或后或并肩行走不止。直子20岁生日的晚上两人发生了性关系，",23,上海译文出版社,村上春树,恋爱
普通昆虫学,"普通昆虫学是研究昆虫的基本特征、特性和基础知识的学科。本书系统地介绍了昆虫形态学、昆虫生理学、昆虫生物学、昆虫系统学和昆虫生态学的基础知识和基本理论，并融合了最新研究成果，内容丰富新颖，概念清晰准确，文字流畅简练。书中还附有200余幅精致插图和200多篇重要文献，对于读者阅读理解、拓宽知识面、了解最新研究进展都大有裨益。 本书可作为高等农林院校植物保护专业本科生教材，也可作为其他植物生产类、",37,科学出版社,许再福,科学
果树栽培学各论,"本教材与《果树栽培学总论》配成一套教材，着重论述南方果树种类、品种的特性和与之相适应的栽培技术。本书包括19种果树，其中常绿果树9种，落叶果树10种，还有用于本书的实验实习指导书，以适应我国南方高等农林院校果树专业本门主修课教学的需要。在9种常绿果树中，以南方各省栽培较为普遍的柑橘为重点，阐明我国南方柑橘丰富的种类和品种及各产区与之相适应的栽培技术，并介绍了国内外现代柑橘栽培高产优质低消耗的原理和",49.50,中国农业出版社,陈杰忠,农业
西藏感官养生书,"本书是一本彩色图文书，介绍了西藏的环境地理和风土人情，特别是藏人的生活习惯及其对养生的态度和方法。并且具体介绍了声、香、味、触、思等五种感官作用的养生方法。",78,中央编译出版社,蒋荣玉,衍生
"HTML XHTML CSS网页制作从入门到精通","HTML是网页制作的基础语言，是每个网页制作者必须掌握的内容。XHTML 1.0是一种在HTML 4.0基础上优化和改进的新语言，是基于XML的应用。建立XHTML的目的就是实现HTML向XML的过渡。目前在网站设计中推崇的Web标准就是基于XHTML的应用。本书通过大量的实例，循序渐进地介绍了使用HTML、XHTML和CSS创建网页以及进行页面布局的基础知识。全书共分为3个部分，包括14章及一个",39,人民邮电出版社,何秀芳,技术
UFO未解之谜,"教育部《全日制义务教育新课程标准》指定书目",12,新疆青少年出版社,郭奇,神秘
林彪的这一生,"在中共历史上，林彪是一个引人注目的人物。少华、游湖所著《林彪的这一生》(湖北人民出版社2003年1月第2版)以翔实的史料、优美的文字和独到的评述，全景式地反映了林彪跌宕起伏、曲折多变的一生，堪称史学园地一株引人注目的新葩。这本书有三个显著特点：(一)有质有文，毫无沉闷之感。自古以来，中国就有文史不分家的传统，许多著名的史学论著，如《史记》等，本身就是优美的文字。但不知从什么时起，史学渐渐远离了文学",28,湖北人民出版社,少华,旅游
子不语,"忘川之上，桑梓之下，一半是光，一半是影。随着四季的更迭变换，麟趾镇的一点一滴逐渐在小语的身边成形。 狐妖摄魂，月光醉人，神�借道，白蛇庇护，那个莫测世界，魑魅魍魉，经由小语的双眼，就这么清晰地展现在了我们的面前。",36,新世纪出版社,夏达,漫画
"杰森·伯恩之谍影重重","他没有过去，也可能不再会有未来。他只知道自己被人从地中海捞起时，身上遍布了弹孔。他动过整容手术，臀部皮下还藏着微型胶片，其内容是一组数字……这些线索引领他来到了苏黎世银行，却发现一个名为“杰森·伯恩”的身份，和一个四百万美金巨款的神秘账户！但他的出现引来了一连串追捕与谋杀。在这致命的谜团中，他只能奋力挣扎求生，并试图找回他失去的记忆和真正的身份。他曾在黑暗的大海里被人救起；而此刻，他即将闯入更险恶、更令人惊惧的黑暗中……",109,上海人民出版社,罗伯特陆德伦,电影
"银河帝国：基地七部曲套装","　人类蜗居在银河系的一个小角落——太阳系，在围绕太阳旋转的第三颗行星上，生活了十多万年之久。人类在这个小小的行星（他们称之为“地球”）上，建立了两百多个不同的行政区域（他们称之为“国家”），直到地球上诞生了第一个会思考的机器人。",130,中国人民大学出版社,阿西莫夫,大学
纳尼亚传奇全集,"《纳尼亚传奇》（The Chronicles of Narnia）是一套奇幻经典巨著，由托尔金的终身挚友，J·K罗琳的精神导师，被誉为“最伟大的牛津人”的英国作家C·S·刘易斯在1950年代所著，与《指环王》《哈利波特》一起被称为世界三大魔幻经典巨著。与《指环王》的史诗般宏伟大气之风格截然不同，却令全世界上无数的读者为之着迷，故事的开始讲述一个小男孩和一个女孩偶然进入了一个异世界，被称为“纳尼亚”，并在那里经历过一连串的冒险，及看到那个世界的创造......，每一本互有关连，但亦可独立阅读。是魔幻爱好者必备藏书。",63.70,北京燕山出版社,刘易斯,自然
历朝通俗演义,"蔡东藩先生从1915年开始创作《清史通俗演义》。此后历经十年，先后完成《元史通俗演义》、《明史通俗演义》、《民国通俗演义》、《宋史通俗演义》、《唐史通俗演义》、《五代史通俗演义》、《南北史通俗演义》、《两晋通俗演义》、《前汉通俗演义》和《后汉通俗演义》。蔡先生的演义小说除极具故事性、趣味性之外，还极其重视史料的真实性。因此，本书不但可以作为一般的休闲读物，也可以作为历史爱好者的参考书。",155.6,金城出版社,蔡东藩,历史
飞镖原则,"唯识心理学把烦恼解释为障碍精神成长的态度和行为，并将其所引发的情绪和续发后果，一起称为烦恼。换句话说，烦恼和心智功能，是此消彼长的关系，只要坠入烦恼中，就会使人失去理智，无法开展光明、愉悦和幸福的人生。",11.9,青岛出版社,刘得章,励志
佛陀与想太多的猪,"“小幸福神书”！畅销1800万册横扫亚洲！想太多的猪，带你找到小幸福！",28,天津社会科学院出版社,小泉吉宏,人生智慧
5分钟和陌生人成为朋友,"相信你不会在心里画地为牢，而是渴望扩大交际圈，渴望结交更多的朋友。你冒冒失失地出现在各种社交场合，努力地张开嘴巴，却发现舌头打结；你费力挤出来的话，周围的人并不感兴趣。你分明在微笑，大家却觉得你态度僵硬；你分明在说，却没有人注意你。你的交际努力彻底失败！又一个美好的夜晚你却一无所获！",12.5,京华出版社,"唐·加博尔",人际关系
